id,name,parent_level1,parent_level2
L3_ministere_des_transports_terrestres_et_aeriens__directions__direction_generale_des_transports_routiers,Direction générale des Transports routiers,L1_ministere_des_transports_terrestres_et_aeriens,L2_ministere_des_transports_terrestres_et_aeriens__directions
L3_presidence_de_la_republique__item__societe_de_gestion_des_infrastructures_publiques_dans_les_poles_urbains_de,Société de Gestion des Infrastructures publiques dans les Pôles Urbains de,L1_presidence_de_la_republique,
L3_primature__autres_administrations__haute_autorite_du_waqf,Haute Autorité du WAQF,L1_primature,L2_primature__autres_administrations
L3_primature__cabinet_du_premier_ministre_et_services_rattaches__secretariat_technique_du_conseil_national_de_securite_alimentaire,Secrétariat technique du Conseil national de Sécurité alimentaire,L1_primature,L2_primature__cabinet_du_premier_ministre_et_services_rattaches
L3_primature__secretariat_general_du_gouvernement_et_services_rattaches__direction_generale_du_service_civique_national_et_du_volontariat,- Direction générale du Service civique national et du Volontariat,L1_primature,L2_primature__secretariat_general_du_gouvernement_et_services_rattaches
L3_primature__secretariat_general_du_gouvernement_et_services_rattaches__direction_generale_de_la_surveillance_et_du_controle_de_l_occupation_du_sol,Direction générale de la Surveillance et du Contrôle de l’Occupation du Sol,L1_primature,L2_primature__secretariat_general_du_gouvernement_et_services_rattaches
L3_presidence_de_la_republique__autres_administrations__delegation_generale_a_la_promotion_des_poles_urbains_de_diamniadio_et_du_lac_rose,Délégation générale à la Promotion des Pôles urbains de Diamniadio et du Lac Rose,L1_presidence_de_la_republique,L2_presidence_de_la_republique__autres_administrations
L3_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_communication_et_porte_parolat,Pôle Communication et Porte-parolat,L1_presidence_de_la_republique,L2_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
L3_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_des_affaires_protocolaires,Pôle des affaires protocolaires,L1_presidence_de_la_republique,L2_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
L3_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_diplomatique,Pôle diplomatique,L1_presidence_de_la_republique,L2_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
L3_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_juridique,Pôle Juridique,L1_presidence_de_la_republique,L2_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
L3_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_securite,Pôle Sécurité,L1_presidence_de_la_republique,L2_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
L3_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__secretariat_du_conseil_superieur_de_la_cour_des_comptes,Secrétariat du Conseil supérieur de la Cour des Comptes,L1_presidence_de_la_republique,L2_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
L3_presidence_de_la_republique__cabinet_militaire_du_president_de_la_republique__haute_autorite_des_aeroports_du_senegal_haas,➢ Haute Autorité des Aéroports du Sénégal (HAAS),L1_presidence_de_la_republique,L2_presidence_de_la_republique__cabinet_militaire_du_president_de_la_republique
L3_presidence_de_la_republique__secretariat_general_de_la_presidence_de_la_republique_et_services_rattaches__direction_generale_du_chiffre_et_de_la_securite_des_systemes_d_information,Direction générale du Chiffre et de la Sécurité des Systèmes d’information,L1_presidence_de_la_republique,L2_presidence_de_la_republique__secretariat_general_de_la_presidence_de_la_republique_et_services_rattaches
L3_service_public__directions__29direction_generale_du_travail_et_de_la_securite_sociale,29Direction générale du Travail et de la Sécurité sociale,L1_service_public,L2_service_public__directions
L3_service_public__directions__direction_generale_de_la_fonction_publique,Direction générale de la Fonction publique,L1_service_public,L2_service_public__directions
