id,name,ministry_id/id
sn_cat_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de
sn_cat_ministere_des_finances_et_du_budget__autres_administrations,Autres administrations,sn_min_ministere_des_finances_et_du_budget
sn_cat_ministere_des_finances_et_du_budget__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_des_finances_et_du_budget
sn_cat_ministere_des_finances_et_du_budget__directions,Directions,sn_min_ministere_des_finances_et_du_budget
sn_cat_ministere_des_finances_et_du_budget__secretariat_general_et_services_rattaches,Secrétariat général et Services rattachés,sn_min_ministere_des_finances_et_du_budget
sn_cat_ministere_des_finances_et_du_budget__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_des_finances_et_du_budget
sn_cat_ministere_des_finances_et_du_budget__services_propres,Services propres,sn_min_ministere_des_finances_et_du_budget
sn_cat_ministere_des_forces_armees__autres_administrations,Autres administrations,sn_min_ministere_des_forces_armees
sn_cat_ministere_des_forces_armees__cabinet_civil_et_services_rattaches,Cabinet civil et services rattachés,sn_min_ministere_des_forces_armees
sn_cat_ministere_des_forces_armees__cabinet_militaire_et_services_rattaches,Cabinet militaire et Services rattachés,sn_min_ministere_des_forces_armees
sn_cat_ministere_des_forces_armees__directions,Directions,sn_min_ministere_des_forces_armees
sn_cat_ministere_des_forces_armees__services_propres,Services propres,sn_min_ministere_des_forces_armees
sn_cat_ministere_des_peches_et_de_l_economie_maritime__autres_administrations,Autres administrations,sn_min_ministere_des_peches_et_de_l_economie_maritime
sn_cat_ministere_des_peches_et_de_l_economie_maritime__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_des_peches_et_de_l_economie_maritime
sn_cat_ministere_des_peches_et_de_l_economie_maritime__directions,Directions,sn_min_ministere_des_peches_et_de_l_economie_maritime
sn_cat_ministere_des_peches_et_de_l_economie_maritime__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_des_peches_et_de_l_economie_maritime
sn_cat_ministere_des_transports_terrestres_et_aeriens__autres_administrations,Autres administrations,sn_min_ministere_des_transports_terrestres_et_aeriens
sn_cat_ministere_des_transports_terrestres_et_aeriens__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_des_transports_terrestres_et_aeriens
sn_cat_ministere_des_transports_terrestres_et_aeriens__directions,Directions,sn_min_ministere_des_transports_terrestres_et_aeriens
sn_cat_ministere_des_transports_terrestres_et_aeriens__directions_regionales_des_transports_terrestres_et_aeriens,Directions régionales des Transports terrestres et aériens,sn_min_ministere_des_transports_terrestres_et_aeriens
sn_cat_ministere_des_transports_terrestres_et_aeriens__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_des_transports_terrestres_et_aeriens
sn_cat_numerique__autres_administrations,Autres administrations,sn_min_numerique
sn_cat_numerique__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_numerique
sn_cat_numerique__directions,Directions,sn_min_numerique
sn_cat_numerique__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_numerique
sn_cat_primature__autres_administrations,Autres administrations,sn_min_primature
sn_cat_primature__cabinet_du_premier_ministre_et_services_rattaches,Cabinet du Premier Ministre et services rattachés,sn_min_primature
sn_cat_primature__secretariat_general_du_gouvernement_et_services_rattaches,Secrétariat général du Gouvernement et services rattachés,sn_min_primature
sn_cat_presidence_de_la_republique__autres_administrations,Autres administrations,sn_min_presidence_de_la_republique
sn_cat_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches,Cabinet du Président de la République et services rattachés,sn_min_presidence_de_la_republique
sn_cat_presidence_de_la_republique__cabinet_militaire_du_president_de_la_republique,Cabinet militaire du Président de la République,sn_min_presidence_de_la_republique
sn_cat_presidence_de_la_republique__secretariat_general_de_la_presidence_de_la_republique_et_services_rattaches,Secrétariat général de la Présidence de la République et services rattachés,sn_min_presidence_de_la_republique
sn_cat_presidence_de_la_republique__services_du_palais,Services du Palais,sn_min_presidence_de_la_republique
sn_cat_service_public__autres_administrations,Autres administrations,sn_min_service_public
sn_cat_service_public__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_service_public
sn_cat_service_public__directions,Directions,sn_min_service_public
sn_cat_service_public__secretariat_general_et_services_rattaches,Secrétariat Général et services rattachés,sn_min_service_public
