id,name,direction_id/id
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_adja_marieme_faye_sall_de_fatick,Centre hospitalier régional Adja Marième FAYE SALL de Fatick,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_amadou_sakhir_mbaye_de_louga,Centre hospitalier régional Amadou Sakhir Mbaye de Louga,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_amadou_tidiane_ba_de_sedhiou,Centre hospitalier régional Amadou Tidiane BA de Sédhiou,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_amath_dansokho_de_kedougou,Centre hospitalier régional Amath Dansokho de Kédougou,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_de_kolda,Centre hospitalier régional de Kolda,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_de_ndioum,Centre hospitalier régional de Ndioum,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_de_ourossogui,Centre hospitalier régional de Ourossogui,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_de_tambacounda,Centre hospitalier régional de Tambacounda,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_de_ziguinchor,Centre hospitalier régional de Ziguinchor,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_el_hadji_amadou_shakir_ndieguene_de_thies,Centre hospitalier régional El Hadji Amadou Shakir Ndiéguène de Thiès,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_ibrahima_abdoulaye_niasse_de_kaolack,Centre hospitalier régional Ibrahima Abdoulaye Niasse de Kaolack,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_lieutenant_colonel_mamadou_diouf_de_saint_louis,Centre hospitalier régional Lieutenant-Colonel Mamadou Diouf de Saint-Louis,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_regional_thierno_birahim_ndao_de_kaffrine,Centre hospitalier régional Thierno Birahim NDAO de Kaffrine,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_thierno_mouhamadoul_mansour_barro_de_mbour,Centre hospitalier Thierno Mouhamadoul Mansour BARRO de Mbour,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_universitaire_de_fann,Centre hospitalier universitaire de Fann,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_national_de_transfusion_sanguine,Centre national de Transfusion sanguine,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_national_d_appareillage_orthopedique,Centre national d’Appareillage Orthopédique,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_national_d_oncologie_de_diamniadio,Centre national d’Oncologie de Diamniadio,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_national_psychiatrique_de_thiaroye,Centre national Psychiatrique de Thiaroye,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__etablissement_public_de_sante_de_niveau_1_institut_d_hygiene_sociale,Etablissement public de Santé de niveau 1 Institut d’Hygiène sociale,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__service_d_assistance_medicale_d_urgence_samu,Service d’Assistance médicale d’Urgence (SAMU),
sn_srv_ministere_de_l_agriculture_de_la_souverainete_alimentaire_et_de__item__item__agence_nationale_du_conseil_agricole_et_rural,Agence nationale du Conseil agricole et rural,
sn_srv_ministere_de_l_agriculture_de_la_souverainete_alimentaire_et_de__item__item__haras_national_de_kebemer,Haras national de Kébémer,
sn_srv_ministere_de_l_agriculture_de_la_souverainete_alimentaire_et_de__item__item__institut_national_de_pedologie,Institut national de Pédologie,
sn_srv_ministere_de_l_agriculture_de_la_souverainete_alimentaire_et_de__item__item__institut_senegalais_de_recherches_agricoles,Institut sénégalais de Recherches agricoles,
sn_srv_ministere_de_l_agriculture_de_la_souverainete_alimentaire_et_de__item__item__office_des_lacs_et_cours_d_eau,Office des Lacs et Cours d’eau,
sn_srv_ministere_de_l_agriculture_de_la_souverainete_alimentaire_et_de__item__item__office_national_de_l_assainissement_du_senegal,Office national de l’Assainissement du Sénégal,
sn_srv_ministere_de_l_agriculture_de_la_souverainete_alimentaire_et_de__item__item__office_national_des_forages_ruraux,Office national des Forages ruraux,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__autres_administrations__item__agence_nationale_de_la_statistique_et_de_la_demographie,Agence nationale de la Statistique et de la Démographie,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__autres_administrations__item__fonds_de_garantie_des_investissements_prioritaires,Fonds de Garantie des Investissements prioritaires,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__cabinet_et_services_rattaches__item__cellule_attractivite_et_competitivite,Cellule attractivité et compétitivité,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__cabinet_et_services_rattaches__item__cellule_de_communication,Cellule de Communication,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__cabinet_et_services_rattaches__item__cellule_des_statistiques_et_donnees,Cellule des statistiques et données,
